X,Z,NAME,ICON,GROUP,URL
221,-560,ししろフーズ社員寮『ジンギス館』,normal,normal,https://seesaawiki.jp/hololivetv/d/%BB%E2%C7%F2%A4%DC%A4%BF%A4%F3%A1%DAMinecraft%A1%DB#GenghisKan
548,-169,シマエナガハウス『あずきんち』,normal,normal,
-23,-544,ぺこらんど,normal,normal,https://seesaawiki.jp/hololivetv/d/%C5%C6%C5%C4%A4%DA%A4%B3%A4%E9%A1%DA%A4%DA%A4%B3%A4%E9%A4%F3%A4%C9%A1%DB#PekolandMinecraft
-31,-708,るしあの焼き鳥屋,normal,normal,
-26,-560,迫る壁,normal,normal,
-29,-699,兎型トラップハウス,normal,normal,
53,-619,自動ニンジン畑,normal,normal,
266,-339,ホロJPサーバーマップ,normal,normal,
149,-486,ラミィのお花屋さん,normal,normal,
32,-373,ラミィの釣り場,normal,normal,
563,-278,よだれハウス（トワ）,normal,normal,
584,-278,新よだれハウス（わため）,normal,normal,
605,-275,よだれハウス（ココ）,normal,normal,
626,-279,よだれハウス（かなた）,normal,normal,
647,-277,よだれハウス（ルーナ）,normal,normal,
77,-40,うさ建夏祭り会場,normal,normal,https://seesaawiki.jp/hololivetv/d/%B6%A6%C6%B1%BB%DC%C0%DF%A1%DAMinecraft%A1%DB#UsakenSummerFestival
590,-189,光の大樹（そらのツリーハウス）,normal,normal,https://seesaawiki.jp/hololivetv/d/%A4%C8%A4%AD%A4%CE%A4%BD%A4%E9%A1%DAMinecraft%A1%DB
53,-576,キアラのおうち,normal,normal,
203,-461,ラミィの定食屋,normal,normal,
31,-342,ウーパールーパーハウス,normal,normal,
217,-850,私立ホロライブ学園,normal,normal,
627,-205,そらトレイン駅舎,normal,normal,
346,-538,ドラゴンサイズのトイレ（プロトタイプ）,normal,normal,
190,-271,ポルカの隠れ家,normal,normal,
264,-836,ポルカの駄菓子屋,normal,normal,
244,-2,ドクロハウス,normal,normal,
-4590,-729,みこの森の洋館,normal,normal,
249,-288,猫カフェ（未完成）,normal,normal,
-4760,-870,赤井ホテル,normal,normal,
-4800,-870,ホロステーション,normal,normal,
-2703,1309,TNTキャノン,normal,normal,
1495,-1030,エンドポータルの部屋,normal,normal,
157,-126,かなたの旧宅,normal,normal,
83,-622,ホロ鯖遺産管理事務局,normal,normal,
95,-197,ムーナイオフィの拠点,normal,normal,
//67,-204,モナス塔（撤去済）,nomal,normal,
103,-170,5★納屋,normal,normal,
90,-132,逆さまハウス（リスの家）,normal,normal,
132,-373,マリンの酒場（未完成）,normal,normal,
62,-227,るしあのケーキ屋,normal,normal,
